@type,accessLevel,accrualPeriodicity,bureauCode_0,conformsTo,contactPoint_@type,contactPoint_fn,contactPoint_hasEmail,dataQuality,describedBy,describedByType,description,distribution_0_description,distribution_0_downloadURL,distribution_0_format,distribution_0_mediaType,distribution_0_title,distribution_0_conformsTo,distribution_0_describedBy,distribution_0_describedByType,distribution_1_description,distribution_1_downloadURL,distribution_1_format,distribution_1_mediaType,distribution_1_title,distribution_1_conformsTo,distribution_1_describedBy,distribution_1_describedByType,distribution_1_accessURL,distribution_2_conformsTo,distribution_2_describedBy,distribution_2_describedByType,distribution_2_description,distribution_2_downloadURL,distribution_2_format,distribution_2_mediaType,distribution_2_title,distribution_2_accessURL,distribution_3_description,distribution_3_downloadURL,distribution_3_format,distribution_3_mediaType,distribution_3_title,distribution_3_accessURL,identifier,isPartOf,issued,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10,keyword_11,keyword_12,keyword_13,keyword_14,keyword_15,keyword_16,keyword_17,keyword_18,keyword_19,keyword_20,keyword_21,keyword_22,keyword_23,keyword_24,keyword_25,keyword_26,keyword_27,keyword_28,keyword_29,keyword_30,keyword_31,keyword_32,keyword_33,keyword_34,keyword_35,keyword_36,landingPage,language,license,modified,primaryITInvestmentUII,programCode_0,publisher_name,references_0,references_1,references_2,references_3,rights,spatial,systemOfRecords,temporal,theme_0,title
dcat:Dataset,restricted public,R/P1W,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"SSA will use data received from the IRS to determine whether or not a beneficiary's income will result in a higher premium being paid for their Medicare Part B coverage.  The data received from the IRS includes tax filing status, Modified Adjusted Gross Income (MAGI), any Life Changing Events, amended tax returns, and IRS corrections to a tax return.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-681,,,Beneficiary,Internal Revenue Service,IRS,MAGI,Medicare Modernization Act,MMA,Modified Adjusted Gross Income,Part B,Tax Returns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1W,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,Medicare Modernization Act  (MMA) IRS Medicare Part B
dcat:Dataset,restricted public,R/P1W,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,SSA uses the Internal Revenue Service (IRS) information in determing the eligibility of Medicare recipients to receive subsidy payments for Medicare premiums.  SSA will Match IRS unearned income records to determine if the beneficiary is below the poverty level and then therefore entitled to subsidy payments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-682,,,Internal Revenue Service,IRS,Medicare,Part D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1W,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,Medicare Modernization Act  (MMA) IRS Medicare Part D
dcat:Dataset,restricted public,R/P1D,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"DEMIS combines a database (Operational Data Store - ODS) of data exchange-related Management Information (MI) with the agency's querying and reporting utility, the Business Information Gateway (BIG). BIG is an intranet-enabled entry point powered by Hyperion/Oracle software for delivering data in various reporting arrangements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-683,,,DEMIS,Management Information System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1D,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,Data Exchange Management Information System (DEMIS) - Data Exchange
dcat:Dataset,restricted public,R/P1W,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"Verify the accuracy of SSNs of all individual Medicare providers, owners, managing/directing employees, authorized representatives, ambulance service medical directors, ambulance crew members, technicians, chain organization administrators, Independent Diagnostic Test Facility (IDTF), supervising/directing physicians, and IDTF interpretation service providers.  Also included in this Agreement are individual health care providers who apply for a National Provider Identification Number (NPI).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-685,,,Center for Medicare and Medicaid Services,CMS,IDTF,Medicare,National Plan and Provider Enumeration System,NPI,NPPES,PECOS,Provider Enrollment Chain Ownership System,Social Security,Social Security Administration,SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1W,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,"Center for Medicare and Medicaid Services- (CMS), Provider Enrollment Chain Ownership System (PECOS), National Plan and Provider Enumeration System (NPPES)"
dcat:Dataset,restricted public,R/P1D,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"When a taxpayer in New York wants to claim any of the four ""tax credit programs"" covered in this Agreement, an SVES-1 verification is performed on the SSNs in question.  This is done prior to the taxpayer receiving the credit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-686,,,New York,SVES,Tax,taxpayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1D,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,New York Department of Taxation
dcat:Dataset,restricted public,R/P1W,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"SSA initiated this agreement with the Department of Defense (DOD) to transmit to SSA information that will identify military personnel injured or taken ill while in support of Operations Enduring Freedom and Iraqi Freedom before an SSA application is filed.  When an SSN is requested, the response will include an indication that the SSN belongs to an individual that the DOD has idenfied as a Military Casualty.  the following alert will then be generated: ""Military Casualty Alert - Use Expedited Procedures"".  Expedited services will then be provided to these military personnel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-687,,,Department of Defense,DOD,Expedited,Military Casualty,Operation Enduring Freedom,Operation Iraqi Freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1W,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,Department of Defense (DOD) Military Casualty/Wounded Warrior
dcat:Dataset,restricted public,R/P1D,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"PBGC is allowed access to the Alpha Access to Employer Identification Query (AEQY), Detailed Earnings Query (DEQY), and the Summary Earnings Query (SEQY).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-688,,,AEQY,DEQY,DTA,PBGC,SEQY,Social Security,Social Security Administration,SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1D,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,Pension Benefit Guaranty Corporation (PBGC) Direct Terminal Access (DTA)
dcat:Dataset,restricted public,R/P1D,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"The Affordable Care Act (ACA) is a federal statute enacted with a goal of increasing the quality and affordability of health insurance. Through a web service, CMS sends applicant information to SSA. SSA matches applicant data to various SSA data sources and provides a response back to CMS, based on the results of the matches. The results of these matches help CMS and states determine an applicant's eligibility and cost for health insurance. SSA provides results to CMS for matches of SSN, Name, and DOB against the Numident. SSA may also provide incarceration data from PUPS, Title II income from the MBR, and quarters of coverage data from the MEF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-689,,,ACA,Affordable Care Act,CMS,Health Insurance,Incarceration Data,MBR,MEF,Numident,PUPS,Social Security,Social Security Administration,SSA,Title II,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1D,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,Affordable Care Act (ACA) - Data Exchange
dcat:Dataset,restricted public,R/P1D,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"The Agreement Workflow Tool (AWT) is a role-based Intranet application used for processing SSA's Reimbursable Agreements according to SSA's standards. AWT provides project coordinators with the functionality to create a cost estimate, SSA-1033, and store multiple versions for use in subsequent workflows. AWT also provides project coordinators with functionality to Create, Renew, and Amend the SSA-1235 and SSA-40 Financial Documents. The application also provides functionality to generate agreement related reports, search for an agreement, view agreement history, and store agreement related documentation. AWT interfaces with SSN Verification (CBSV) to ensure that the external CBSV customers have active agreements with the SSA. AWT also interfaces with the Data Exchange Inventory (DEXI) application to update the data exchange inventory information and provide SSA users with a link to the reimbursable agreement documentation.  AWT provides the Regional Office Data Exchange Coordinators (DECs) with the ability to create and modify tracking records for the non-reimbursable agreements between SSA and the States or State Agencies.  AWT is developed with ColdFusion and DB2. Users of AWT include DCS, DCO (including the Regional Offices), OGC, DCBFQM, OCO, and ODX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-690,,,Agreement Workflow Tool,AWT,CBSV,DCBFQM,DCO,DCS,DEC,DEXI,OCO,ODX,OGC,Reimbursable Agreements,SSA 1033,SSA 1235,SSA 40,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1D,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,Agreement Workflow Tool (AWT)
dcat:Dataset,restricted public,R/P1D,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"CBSV is a fee-based service offered by SSA's Business Services Online (BSO). It is used by private companies to verify the SSNs of their customers and clients that have provided written consent. Prior to submitting verifications, CBSV interacts with SSOARS to confirm positive account balance and AWT to confirm a valid agreement exists. CBSV users have the option of using a web service, an online service to verify up to 10 SSNs for immediate results or upload batch files for overnight processing. CBSV uses the Numident Online Verification Utility (NOVU) for the online requests and EVS for the batch requests. The CBSV application is maintained by OSES while AWT, NOVU and EVS are maintained in OEEAS DIVES Verification Systems Branch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-691,,,AWT,BSO,Business Services Online,CBSV,Consent Based Verification System,DIVES,EVS,NOVU,Numident Online Verification Utility,OSES,Social Security,Social Security Administration,SSA,SSN,SSOARS,Verification,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1D,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,Consent Based Verification System (CBSV)
dcat:Dataset,restricted public,R/P1D,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"DEVO is the back-end application for  processing SSN verifications and data exchanges. DEVO uses modern technology for parameter driven processing of both batch and real time requests. DEVO provides the capability for SSA to accurately and rapidly respond to customized requests, legislative mandates, and court orders. Legacy verification and data exchange applications (Enumeration Verification System (EVS), Numident Online Verification Utility (NOVU), State Verification Exchange System (SVES), and State Online Query System (SOLQ) are methodically being reengineered into DEVO, which will make use of reusable, flexible software. DEVO interfaces with the Verification Account Management System (VAMS) to determine account status, obtain processing parameters, and store transaction counts for Management Information (MI).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-692,,,batch,Data Exchanges and Verifications Online,DEVO,Enumeration Verification System,EVS,Management Information,MI,NOVU,Numident Online Verification Utility,real time,SOLQ,State Online Query System,State Verification Exchange System,SVES,VAMS,Verification Account Management System,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1D,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,Data Exchanges and Verifications Online (DEVO)
dcat:Dataset,restricted public,R/P1D,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"Through an automated confirmation system, an employer matches information provided by a new employee (Form I-9) against existing information contained in Social Security Administration's (SSA) and the Department of Homeland Security's (DHS) U.S. Citizenship & Immigration Services (USCIS) databases. The SSA E-Verify System (SSA E-Verify) determines a specific verification code based upon information (SSN, DOB, L-Name, F-Name) in the NUMIDENT database. The verification code is returned to DHS E-Verify (DHS E-Verify) along with the original verification request. The message to the employer is determined by DHS E-Verify based on SSA's verification code.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-693,,,Citizen,DHS,Employment,Employment Eligibility,Employment Eligibility Verification,E-Verify,Illegal Immigration,Immigration,New Hire,NUMIDENT,USCIS,U.S. Citizenship,Verification,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ssa.gov/data/Restricted-Public-Licensing-Information.html,R/P1D,,016:000,Social Security Administration,,,,,The data contained in this data exchange is restricted due to sensitivity and/or privacy issues.  If you would like more information on a data exchange with SSA please visit the following web site https://www.ssa.gov/dataexchange/.,United States,,,,E-Verify
dcat:Dataset,public,R/P1Y,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,"Longitudinal report detailing the numbers and percentages of Requests for Review (RR) of hearing level decisions or dismissals filed with the Appeals Council (AC) during each of Fiscal Years 2010 on as compared to the total number of appealable hearing level decisions or dismissals issued during those same years. For this report, appealable hearing level dispositions are unfavorable or partially favorable decisions or dismissals.",,https://www.ssa.gov/appeals/DataSets/A02_RR_Appealable_HO_Dispositions.html,HTML,text/html,,,,,,https://www.ssa.gov/appeals/DataSets/A02_RR_Appealable_HO_Dispositions.xml,XML,text/xml,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-694,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Appealable Cases,Appeals Council,Cases,FOIA,Freedom Of Information,ODAR,Office of Disability Adjudication and Review,Office of Hearings Operations,OHO,Percentage of Cases,Requests,Review,Social Security,Social Security Administration,SSA,,,,,,,,,https://www.ssa.gov/appeals/DataSets/A02_RR_Appealable_HO_Dispositions.html,,https://creativecommons.org/publicdomain/zero/1.0/,R/P1Y,,016:000,Social Security Administration,https://www.ssa.gov/appeals/DataSets/A02_RR_Appealable_HO_Dispositions.html,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,,,,,R/2009-09-26/P1Y,,Appeals to the AC as a Percentage of Appealable Hearing Level Dispositions
dcat:Dataset,public,R/P1Y,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,Longitudinal report detailing the top 10 reasons for remands captured by the Appeals Council (AC) in cases remanded by federal courts when returning cases to the agency during each of Fiscal Years 2010–2022. The report also contains the percentages of the top 10 reasons as compared to all cited remand reasons during the same years.,,https://www.ssa.gov/appeals/DataSets/A08_Top_10_CR.html,HTML,text/html,,,,,,https://www.ssa.gov/appeals/DataSets/A08_Top_10_CR.xml,XML,text/xml,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-695,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Appealable Cases,Appeals Council,Cases,FOIA,Freedom Of Information,ODAR,Office of Disability Adjudication and Review,Office of Hearings Operations,OHO,Percentage of Cases,Requests,Review,Social Security,Social Security Administration,SSA,Type 2,,,,,,,,,https://www.ssa.gov/appeals/DataSets/A08_Top_10_CR.html,,https://creativecommons.org/publicdomain/zero/1.0/,R/P1Y,,016:000,Social Security Administration,https://www.ssa.gov/appeals/DataSets/A08_Top_10_CR.html,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,,,United States,,R/2009-09-26/P1Y,,Top 10 Remand Reasons Cited by the Court on Remands to SSA
dcat:Dataset,public,R/P1Y,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Longitudinal report detailing the numbers and percentages of Appeals Council (AC) own motion review actions taken on un-appealed favorable hearing level decisions during each of Fiscal Years 2010 - onward as compared to the total number of sampled favorable hearing level decisions during those same years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-696,,,AC Own Motion,Sampled Cases,Social Security,Social Security Administration,SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,R/P1Y,,016:000,Social Security Administration,,,,,,United States,,R/2009-10/P1Y,,AC Own Motion Percentage of Randomly Sampled Cases
dcat:Dataset,public,R/P1Y,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,"Longitudinal report detailing the numbers and percentages of Appeals Council (AC) grant review actions on Requests for Review (RR) of hearing level decisions or dismissals filed with the AC during each of Fiscal Years 2010 on as compared to the total number of RR dispositions issued during those same years. In response to a RR of a hearing level action, the AC may either deny or dismiss the RR, or grant review of the hearing level decision or dismissal. In this report, grant review actions include when the AC either returns the hearing level decision or dismissal with a remand order for further action, or when the AC issues a new decision.",,https://www.ssa.gov/appeals/DataSets/A03_AC_GrantReview_All_Dispositions.html,HTML,text/html,,,,,,https://www.ssa.gov/appeals/DataSets/A03_AC_GrantReview_All_Dispositions.xml,XML,text/xml,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-697,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,AC Dispositions,FOIA,Freedom Of Information,Grant Review,ODAR,Office of Disability Adjudication and Review,Office of Hearings Operations,OHO,Social Security,Social Security Administration,SSA,,,,,,,,,,,,,https://www.ssa.gov/appeals/DataSets/A03_AC_GrantReview_All_Dispositions.html,,https://creativecommons.org/publicdomain/zero/1.0/,R/P1Y,,016:000,Social Security Administration,https://www.ssa.gov/appeals/DataSets/A03_AC_GrantReview_All_Dispositions.html,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,,,United States,,R/2009-09-26/P1Y,,AC Grant Review Actions as a Percentage of All AC Dispositions
dcat:Dataset,public,R/P1Y,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,Longitudinal report detailing the top 10 reasons for remands cited by the Appeals Council (AC) when returning requests for review (RRs) or own motion review actions to the hearing level offices during each of Fiscal Years 2010–2022. The report also contains the percentages of the top 10 reasons as compared to all cited remand reasons during the same years.,,https://www.ssa.gov/appeals/DataSets/A07_Top_10_RR_and_OM.html,HTML,text/html,,,,,,https://www.ssa.gov/appeals/DataSets/A07_Top_10_RR_and_OM.xml,XML,text/xml,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-698,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,FOIA,Freedom Of Information,ODAR,Office of Disability Adjudication and Review,Office of Hearings Operations,OHO,Remand Analysis,Social Security,Social Security Administration,SSA,Study,,,,,,,,,,,,,,https://www.ssa.gov/appeals/DataSets/A07_Top_10_RR_and_OM.html,,https://creativecommons.org/publicdomain/zero/1.0/,R/P1Y,,016:000,Social Security Administration,https://www.ssa.gov/appeals/DataSets/A07_Top_10_RR_and_OM.html,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,,,United States,,R/2009-09-26/P1Y,,Top 10 Remand Reasons Cited by the AC on Remands of RRs or Own Motion Reviews
dcat:Dataset,public,R/P1Y,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Data around the timing and processing of cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-699,,,Analysis of Appeals,Case Processing,Case Timing,Council Processing,Social Security,Social Security Administration,SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,R/P1Y,,016:000,Social Security Administration,,,,,,,,,,Analysis of Appeals Council Processing
dcat:Dataset,public,R/P1Y,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,"Longitudinal report detailing the numbers and percentages of Appeals Council (AC) remand actions issued in response to Requests for Review (RR) of hearing level decisions or dismissals during each of Fiscal Years 2010 on as compared to the total number of RR dispositions issued during those same years. Once review is granted, remand actions are those that the AC returns to the hearing office or national hearing center for further action.",,https://www.ssa.gov/appeals/DataSets/A04_AC_Remands_All_Dispositions.html,HTML,text/html,,,,,,https://www.ssa.gov/appeals/DataSets/A04_AC_Remands_All_Dispositions.xml,XML,text/xml,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-700,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,AC Dispositions,AC Remands,FOIA,Freedom Of Information,ODAR,Office of Disability Adjudication and Review,Office of Hearings Operations,OHO,Social Security,Social Security Administration,SSA,,,,,,,,,,,,,https://www.ssa.gov/appeals/DataSets/A04_AC_Remands_All_Dispositions.html,,https://creativecommons.org/publicdomain/zero/1.0/,R/P1Y,,016:000,Social Security Administration,https://www.ssa.gov/appeals/DataSets/A04_AC_Remands_All_Dispositions.html,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,,,United States,,R/2009-09-26/P1Y,,AC Remands as a Percentage of all AC Dispositions
dcat:Dataset,public,R/P1Y,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,"Longitudinal report detailing the numbers and percentages of new court cases filed during each of Fiscal Years 2010 on as compared to the total number of appealable Requests for Review (RR) dispositions issued during those same years. Court cases may be filed after an appealable decision on the RR is issued by the Appeals Council (AC). For this report, appealable AC RR dispositions only include denials of the request for review or partially favorable or unfavorable AC decisions. Fully favorable decisions by the AC are not included as they are very rarely appealed. Dismissals of the RR by the AC are also not included since they are not typically appealable to the courts.",,https://www.ssa.gov/appeals/DataSets/A05_NCC_Filed_Appealable.html,HTML,text/html,,,,,,https://www.ssa.gov/appeals/DataSets/A05_NCC_Filed_Appealable.xml,XML,text/xml,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-701,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Appealable Cases,Court Cases filed,FOIA,Freedom Of Information,ODAR,Office of Disability Adjudication and Review,Office of Hearings Operations,OHO,Social Security,Social Security Administration,SSA,,,,,,,,,,,,,https://www.ssa.gov/appeals/DataSets/A05_NCC_Filed_Appealable.html,,https://creativecommons.org/publicdomain/zero/1.0/,R/P1Y,,016:000,Social Security Administration,https://www.ssa.gov/appeals/DataSets/A05_NCC_Filed_Appealable.html,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,,,United States,,R/2009-09-26/P1Y,,Appeals to Court as a Percentage of Appealable AC Dispositions
dcat:Dataset,public,R/P1Y,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,https://www.ssa.gov/appeals/DataSets/data_dictionary.html,,Longitudinal report detailing the numbers and percentages of court remand actions received during Fiscal Years 2010 onward as compared to the total number of new court cases filed during those same years.,,https://www.ssa.gov/appeals/DataSets/AC05_Court_Remands_NCC_Filed.xml,XML,text/xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-702,,,Court Remands,New Court Cases,Percentage of New Court Cases Filed,Social Security,Social Security Administration,SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,R/P1Y,,016:000,Social Security Administration,https://www.ssa.gov/appeals/DataSets/AC05_Court_Remands_NCC_Filed.html,,,,,United States,,R/2009-10-01/P1Y,,Court Remands as a Percentage of New Court Cases Filed
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"The database will be used to track SSA's contributions to Minority Serving Institutions such as Historically Black Colleges and Universities (HBCU), Tribal Colleges and Universities (TCU), Hispanic Serving Institutions (HSI), and Asian American and Native American Pacific Islander Serving Institutions (AANAPISI).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-703,,,African American,Alaska Native,American Indian,American Indian and Alaska Native-Serving Institution,Asian American,Asian American and Native American Pacific Islander-Serving Institutions,Disabled,Hispanic,Hispanic-Serving Institutions,Historically Black Colleges Universities,Institute of Higher Education,Minority Serving Institutions,Native American,Native Hawaiian,Native Hawaiian-Serving Institution,Predominantly Black Institutions,South Pacific Islander,Tribal Colleges and Universities,Veterans,Women,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Minority Serving Institutions Reporting System Database
dcat:Dataset,public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,A monthly summary of activity for the Ticket to Work and Vocational Rehabilitation programs for January 2014.,,https://www.ssa.gov/work/documents/TicketTracker/January%202014%20Summary%20and%20Assignment%20Report%20-%20FINAL%20508.xls,XLS,application/vnd.ms-excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-704,,,Office of Retirement and Disability Policy,return to work,Social Security,Social Security Administration,social security disability benefits,SSA,Ticket to Work Program,Vocational Rehabilitation Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,2025-11-21,,016:000,Social Security Administration,https://www.ssa.gov/work/tickettracker.html,,,,,,,,,Ticket to Work Monthly Report - January 2014
dcat:Dataset,public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,A monthly summary of activity for the Ticket to Work and Vocational Rehabilitation programs for February 2014.,,https://www.ssa.gov/work/documents/TicketTracker/February%202014%20Summary%20and%20Assignment%20Report%20-%20FINAL%20508.xls,XLS,application/vnd.ms-excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-705,,,Office of Retirement and Disability Policy,return to work,Social Security,Social Security Administration,social security disability benefits,SSA,Ticket to Work Program,Vocational Rehabilitation Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,2025-11-21,,016:000,Social Security Administration,https://www.ssa.gov/work/tickettracker.html,,,,,,,,,Ticket to Work Monthly Report - February 2014
